State,Overall Wellbeing,% Diabetes,% Obese,% Exercise frequently,% Eat produce frequently,% City optimism,% Uninsured
National average,66.2,11.1,27.1,51.6,57.7,59.7,17.3
Alabama,64.1,16.9,28.1,47.5,56.9,62.4,17.7
Alaska,67.6,8.8,30.1,60.1,59.8,65.9,18.9
Arizona,67.2,12,25.6,53.3,59.9,61.8,20.4
Arkansas,64.3,13.4,32.3,52.5,54.6,59.6,22.5
California,67.6,10.3,23.6,55.1,59.3,60.4,21.6
Colorado,68.9,7.1,20.4,59.8,60.6,65.1,17
Connecticut,65.9,8.5,23.2,54.2,58.9,54.8,12.3
Delaware,66.5,13.5,34.3,46.5,54.3,55.4,10.5
District of Columbia,70.1,5.3,14.3,51.4,60.2,79.3,7.8
Florida,66.2,12.3,25.6,53.5,59.5,61.9,22.1
Georgia,66.6,11.8,28.2,51.4,59.2,63.1,21.4
Hawaii,68.4,12.4,23.7,62.2,59.6,61.6,7.1
Idaho,66.3,10,25.9,57.7,57.5,63.1,19.9
Illinois,66.9,10.3,26.4,51.2,56.1,55.2,15.5
Indiana,64.9,12.9,29.9,49.4,56.3,58.7,15.3
Iowa,68.2,9,28.1,53.1,55.4,65.4,9.7
Kansas,66.9,9.4,27.2,52.3,55.5,65,12.5
Kentucky,63,13.9,30.6,50.5,57.6,60.3,20.4
Louisiana,64.9,13.9,32.7,50.5,53.3,61.6,21.7
Maine,67.7,12.8,24.8,55.3,59.9,58.5,16.1
Maryland,67.2,11.6,24.9,50.1,56.7,56.5,12.9
Massachusetts,68,9.2,22.2,52.9,59,60.6,4.9
Michigan,65.4,11.4,28.9,50.9,58.8,55.7,12.5
Minnesota,69.7,8.4,22,55.7,57.1,67.1,9.5
Mississippi,63.7,16.6,35.4,50.1,58,57.9,22.4
Missouri,64.5,11.1,29,51.7,53.8,57.7,15.2
Montana,69.3,7.8,19.6,60.1,63,62.9,20.7
Nebraska,69.7,9.4,27.1,56.3,58.5,67.9,14.5
Nevada,66.6,9.2,21.1,54.5,59.2,56,20
New Hampshire,68.2,10.6,25.5,53.9,58,59.6,13.8
New Jersey,66.9,12.1,24.9,47.7,57.9,52.6,14.9
New Mexico,65.7,12,23.5,57.4,61.1,55.6,20.2
New York,65.5,10.6,24,49.3,58.5,54.4,12.6
North Carolina,65.8,13.2,28.1,51.7,58.1,62.4,20.4
North Dakota,70.4,8.6,26,56,55.9,57.4,15
Ohio,64.2,13,30.9,49.3,55.6,53.4,13.9
Oklahoma,64.7,14.1,30.5,50.7,52.3,64.3,21.4
Oregon,66.7,9.2,24.9,58,61.4,59.2,19.4
Pennsylvania,65.5,11.1,28.2,50.4,59.2,50.7,11
Rhode Island,65.2,11.1,24.8,48.2,55.8,48.6,13.3
South Carolina,65.3,13.9,31.4,49.7,58.5,66.8,18.7
South Dakota,70,8.9,28.3,51.8,55.8,71.3,14
Tennessee,64.3,14.5,31.3,49.2,59.1,62.2,16.8
Texas,66.9,11.7,29.8,52.2,55.5,69,27
Utah,68.2,7.8,24.2,53.9,58.9,67.9,15.6
Vermont,69.1,12.1,24.8,65.3,67.8,58.8,8.9
Virginia,66.8,11.8,25.2,52,59.5,62.1,13.3
Washington,68.3,8.5,25,55.7,61.8,59.8,16.8
West Virginia,61.4,15.9,34.4,47.1,54.5,48.1,17.6
Wisconsin,67.7,9.8,29,53.9,59.1,59.7,11.7
Wyoming,65.6,8.7,27.8,54.2,60.3,60.7,16.6
